City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,-8.91,98,39,5.88,RU,2023-11-25
1,port elizabeth,-33.918,25.5701,68.29,85,100,5.75,ZA,2023-11-25
2,albany,42.6001,-73.9662,39.56,52,28,3.0,US,2023-11-25
3,kingston,17.997,-76.7936,84.2,60,80,5.1,JM,2023-11-25
4,constantia,44.1833,28.65,39.88,91,100,28.95,RO,2023-11-25
5,codrington,-38.2667,141.9667,55.94,91,100,14.16,AU,2023-11-25
6,luganville,-15.5333,167.1667,76.03,79,78,8.5,VU,2023-11-25
7,adamstown,-25.066,-130.1015,71.51,82,84,22.01,PN,2023-11-25
8,kinna,57.5073,12.6946,24.44,63,10,6.89,SE,2023-11-25
9,kavaratti,10.5669,72.642,83.73,72,87,8.12,IN,2023-11-25
10,amarante do maranhao,-5.5667,-46.7422,98.28,29,21,7.58,BR,2023-11-25
11,ust-nera,64.5667,143.2,-27.83,99,84,6.02,RU,2023-11-25
12,bonthe,7.5264,-12.505,81.43,75,67,7.34,SL,2023-11-25
13,mukalla,14.5425,49.1242,79.03,71,64,2.06,YE,2023-11-25
14,kayangel,8.0823,134.7173,83.28,78,29,14.05,PW,2023-11-25
15,edinburgh of the seven seas,-37.0676,-12.3116,58.14,86,25,22.97,SH,2023-11-25
16,leer,53.2316,7.461,40.95,90,29,7.27,DE,2023-11-25
17,blackmans bay,-43.0167,147.3167,55.72,95,100,1.01,AU,2023-11-25
18,laza,46.65,27.5833,35.89,96,100,11.97,RO,2023-11-25
19,hadibu,12.65,54.0333,79.27,72,21,10.25,YE,2023-11-25
20,misratah,32.3754,15.0925,68.31,58,59,29.39,LY,2023-11-25
21,teguise,29.0605,-13.564,66.42,56,20,13.8,ES,2023-11-25
22,yellowknife,62.456,-114.3525,10.92,72,75,13.8,CA,2023-11-25
23,ushuaia,-54.8,-68.3,58.66,31,75,20.71,AR,2023-11-25
24,cidreira,-30.1811,-50.2056,68.79,59,5,10.07,BR,2023-11-25
25,lompoc,34.6391,-120.4579,66.52,64,0,8.01,US,2023-11-25
26,dompu,-8.5356,118.4622,77.11,95,93,2.17,ID,2023-11-25
27,lewiston orchards,46.3804,-116.9754,37.26,81,100,0.0,US,2023-11-25
28,puerto natales,-51.7236,-72.4875,59.45,44,40,40.29,CL,2023-11-25
29,nishinoomote,30.7333,131.0,61.95,68,80,11.48,JP,2023-11-25
30,hawaiian paradise park,19.5933,-154.9731,72.03,97,100,6.91,US,2023-11-25
31,bethel,41.3712,-73.414,40.01,50,0,4.61,US,2023-11-25
32,saint clairsville,40.0806,-80.9001,42.31,54,23,4.0,US,2023-11-25
33,egilsstadir,65.2653,-14.3948,33.71,93,0,3.44,IS,2023-11-25
34,mumbwa,-14.9783,27.0619,79.23,42,91,9.64,ZM,2023-11-25
35,newman,37.3138,-121.0208,52.23,39,0,5.68,US,2023-11-25
36,west island,-12.1568,96.8225,78.78,73,100,13.8,CC,2023-11-25
37,san julian,21.0167,-102.1667,69.19,24,1,5.97,MX,2023-11-25
38,hermanus,-34.4187,19.2345,63.84,73,98,7.92,ZA,2023-11-25
39,margaret river,-33.95,115.0667,63.61,62,100,14.34,AU,2023-11-25
40,bowie,33.4501,-94.4335,57.69,65,75,6.71,US,2023-11-25
41,stanley,54.868,-1.6985,35.06,87,20,3.44,GB,2023-11-25
42,zaozersk,69.4005,32.4476,24.04,97,100,3.71,RU,2023-11-25
43,tazovsky,67.4667,78.7,-8.01,84,4,8.86,RU,2023-11-25
44,queenstown,-31.8976,26.8753,65.1,85,82,8.9,ZA,2023-11-25
45,nar'yan-mar,67.6713,53.087,2.1,96,90,5.99,RU,2023-11-25
46,jolo,6.05,121.0167,78.28,88,100,3.6,PH,2023-11-25
47,vorgashor,67.5833,63.95,12.69,89,97,6.69,RU,2023-11-25
48,bilibino,68.0546,166.4372,14.81,92,100,5.01,RU,2023-11-25
49,wynyard,-41.0,145.7167,58.55,95,100,8.75,AU,2023-11-25
50,qaqortoq,60.7167,-46.0333,32.81,99,100,7.27,GL,2023-11-25
51,olonkinbyen,70.9221,-8.7187,28.13,67,48,19.93,SJ,2023-11-25
52,tiksi,71.6872,128.8694,-12.32,96,99,2.55,RU,2023-11-25
53,suntar,62.1444,117.6319,-28.84,100,95,2.89,RU,2023-11-25
54,ilulissat,69.2167,-51.1,44.62,57,75,10.36,GL,2023-11-25
55,badger,64.8,-147.5333,22.35,84,100,0.0,US,2023-11-25
56,saldanha,-33.0117,17.9442,64.45,78,67,21.54,ZA,2023-11-25
57,arilje,43.7531,20.0956,32.36,97,100,8.59,RS,2023-11-25
58,mar del plata,-38.0023,-57.5575,89.83,59,0,18.01,AR,2023-11-25
59,port-aux-francais,-49.35,70.2167,39.33,75,17,34.49,TF,2023-11-25
60,malanje,-9.5402,16.341,63.1,98,98,2.68,AO,2023-11-25
61,karratha,-20.7377,116.8463,81.61,65,61,7.47,AU,2023-11-25
62,anadyr,64.75,177.4833,28.9,93,40,17.9,RU,2023-11-25
63,fale old settlement,-9.3852,-171.2468,82.83,72,100,5.88,TK,2023-11-25
64,puerto ayora,-0.7393,-90.3518,87.76,88,69,8.99,EC,2023-11-25
65,wailua homesteads,22.0669,-159.378,72.03,89,0,9.22,US,2023-11-25
66,altai,46.3722,96.2583,16.43,70,39,4.5,MN,2023-11-25
67,kodiak,57.79,-152.4072,42.31,87,100,6.91,US,2023-11-25
68,georgetown,5.4112,100.3354,80.53,86,20,3.44,MY,2023-11-25
